CRIM	ZN	INDUS	CHAS	NOX	RM	AGE	DIS	RAD	TAX	PTRATIO	LSTAT	MEDV
0.00632	18.00	2.310	0,00	0.5380	1406337,00	65.20	4.0900	1,00	296.0	15.30	35886,00	24.00
0.02731	0.00	7.070	0,00	0.4690	843863,00	78.90	2838392,00	2,00	242.0	17.80	41883,00	21.60
0.02729	0.00	7.070	0,00	0.4690	7.1850	61.10	2838392,00	2,00	242.0	17.80	44624,00	34.70
0.03237	0.00	2.180	0,00	0.4580	2951313,00	45.80	6.0622	3,00	222.0	18.70	34366,00	33.40
0.06905	0.00	2.180	0,00	0.4580	7.1470	54.20	6.0622	3,00	222.0	18.70	12175,00	36.20
0.02985	0.00	2.180	0,00	0.4580	876735,00	58.70	6.0622	3,00	222.0	18.70	44317,00	28.70
0.08829	18598,00	7.870	0,00	0.5240	6.0120	66.60	1353346,00	5,00	311.0	15.20	16041,00	22.90
0.14455	18598,00	7.870	0,00	0.5240	6.1720	96.10	2777791,00	5,00	311.0	15.20	19.15	44861,00
0.21124	18598,00	7.870	0,00	0.5240	1610841,00	100.00	6.0821	5,00	311.0	15.20	29.93	16.50
0.17004	18598,00	7.870	0,00	0.5240	6.0040	85.90	1468793,00	5,00	311.0	15.20	44851,00	18.90
0.22489	18598,00	7.870	0,00	0.5240	683157,00	94.30	572488,00	5,00	311.0	15.20	20.45	15.00
0.11747	18598,00	7.870	0,00	0.5240	6.0090	82.90	134197,00	5,00	311.0	15.20	13.27	18.90
0.09378	18598,00	7.870	0,00	0.5240	2553168,00	39.00	953040,00	5,00	311.0	15.20	15.71	21.70
0.62976	0.00	8.140	0,00	0.5380	2772313,00	61.80	1890222,00	4,00	307.0	21.00	46235,00	20.40
0.63796	0.00	8.140	0,00	0.5380	6.0960	84.50	993186,00	4,00	307.0	21.00	46296,00	18.20
0.62739	0.00	8.140	0,00	0.5380	2352284,00	56.50	1127231,00	4,00	307.0	21.00	17380,00	19.90
1.05393	0.00	8.140	0,00	0.5380	2721179,00	29.30	1127231,00	4,00	307.0	21.00	21337,00	44857,00
0.78420	0.00	8.140	0,00	0.5380	2922062,00	81.70	248092,00	4,00	307.0	21.00	14.67	17.50
0.80271	0.00	8.140	0,00	0.5380	971668,00	36.60	2215257,00	4,00	307.0	21.00	25508,00	20.20
0.72580	0.00	8.140	0,00	0.5380	1961475,00	69.50	2215257,00	4,00	307.0	21.00	47058,00	18.20
1.25179	0.00	8.140	0,00	0.5380	1388044,00	98.10	2220370,00	4,00	307.0	21.00	44613,00	13.60
0.85204	0.00	8.140	0,00	0.5380	2830752,00	89.20	4.0123	4,00	307.0	21.00	13.83	19.60
1.23247	0.00	8.140	0,00	0.5380	6.1420	91.70	2874155,00	4,00	307.0	21.00	18.72	15.20
0.98843	0.00	8.140	0,00	0.5380	2275583,00	100.00	4.0952	4,00	307.0	21.00	19.88	14.50
0.75026	0.00	8.140	0,00	0.5380	2681003,00	94.10	765641,00	4,00	307.0	21.00	16.30	15.60
0.84054	0.00	8.140	0,00	0.5380	1493964,00	85.70	966524,00	4,00	307.0	21.00	16.51	13.90
0.67191	0.00	8.140	0,00	0.5380	2275583,00	90.30	1797086,00	4,00	307.0	21.00	14.81	16.60
0.95577	0.00	8.140	0,00	0.5380	6.0470	88.80	962141,00	4,00	307.0	21.00	17.28	14.80
0.77299	0.00	8.140	0,00	0.5380	1114143,00	94.40	966889,00	4,00	307.0	21.00	29556,00	18.40
1.00245	0.00	8.140	0,00	0.5380	1767927,00	87.30	179061,00	4,00	307.0	21.00	36100,00	21.00
